,Event,Gender,Location,Year,Medal,Name,Nationality,Result
1957,200M,M,Athens,2004,B,Justin GATLIN,USA,20.03
1958,Long Jump,M,Athens,2004,G,Dwight PHILLIPS,USA,8.59
1959,1500M,W,Athens,2004,B,Maria CIONCAN,ROU,3:58.39
1960,1500M,W,Athens,2004,S,Tatyana TOMASHOVA,RUS,3:58.12
1961,Long Jump,W,Athens,2004,G,Tatyana LEBEDEVA,RUS,7.07
1962,3000M Steeplechase,M,Athens,2004,B,Paul Kipsiele KOECH,KEN,8:06.64
1963,400M Hurdles,M,Athens,2004,B,Naman KEITA,FRA,48.26
1964,Marathon,M,Athens,2004,G,Stefano BALDINI,ITA,2h10:55
1965,Discus Throw,M,Athens,2004,B,Aleksander TAMMERT,EST,66.66
1966,Pole Vault,M,Athens,2004,G,Timothy MACK,USA,5.95
1967,Hammer Throw,M,Athens,2004,G,Koji MUROFUSHI,JPN,82.91
1968,100M,M,Athens,2004,S,Francis OBIKWELU,POR,9.86
1969,Marathon,W,Athens,2004,B,Deena KASTOR,USA,2h27:20
1970,100M,W,Athens,2004,B,Veronica CAMPBELL-BROWN,JAM,10.97
1971,Discus Throw,M,Athens,2004,S,Zoltan KOVAGO,HUN,67.04
1972,100M,W,Athens,2004,S,Lauryn WILLIAMS,USA,10.96
1973,Heptathlon,W,Athens,2004,B,Kelly SOTHERTON,GBR,6424.0
1974,100M,W,Athens,2004,G,Yuliya NESTSIARENKA,BLR,10.93
1975,100M,M,Athens,2004,B,Maurice GREENE,USA,9.87
1976,400M,W,Athens,2004,B,Natalya ANTYUKH,RUS,49.89
1977,400M,W,Athens,2004,G,Tonique WILLIAMS-DARLING,BAH,49.41
1978,400M,W,Athens,2004,S,Ana GUEVARA,MEX,49.56
1979,Heptathlon,W,Athens,2004,S,Austra SKUJYTE,LTU,6435.0
1980,Discus Throw,M,Athens,2004,G,Virgilijus ALEKNA,LTU,69.89
1981,Marathon,W,Athens,2004,S,Catherine NDEREBA,KEN,2h26:32
1982,Marathon,M,Athens,2004,S,Mebrahtom KEFLEZIGHI,USA,2h11:29
1983,Marathon,M,Athens,2004,B,Vanderlei DE LIMA,BRA,2h12:11
1984,Marathon,W,Athens,2004,G,Mizuki NOGUCHI,JPN,2h26:20
1985,Heptathlon,W,Athens,2004,G,Carolina KLUFT,SWE,6952.0
1986,Hammer Throw,M,Athens,2004,B,Esref APAK,TUR,79.51
1987,200M,M,Beijing,2008,B,Walter DIX,USA,19.98
1988,10000M,M,Beijing,2008,S,Sileshi SIHINE,ETH,27:02.77
1989,Long Jump,W,Beijing,2008,G,Maurren Higa MAGGI,BRA,7.04
1990,10000M,M,Beijing,2008,G,Kenenisa BEKELE,ETH,27:01.17
1991,1500M,M,Beijing,2008,G,Asbel Kipruto KIPROP,KEN,3:33.11
1992,5000M,M,Beijing,2008,B,Edwin Cheruiyot SOI,KEN,13:06.22
1993,Long Jump,W,Beijing,2008,B,Blessing OKAGBARE,NGR,6.91
1994,Pole Vault,W,Beijing,2008,S,Jennifer SUHR,USA,4.8
1995,Heptathlon,W,Beijing,2008,G,Natallia DOBRYNSKA,UKR,6733.0
1996,Triple Jump,W,Beijing,2008,G,Francoise MBANGO ETONE,CMR,15.39
1997,Pole Vault,W,Beijing,2008,B,Svetlana FEOFANOVA,RUS,4.75
1998,Heptathlon,W,Beijing,2008,B,Tatyana CHERNOVA,RUS,6591.0
1999,200M,M,Beijing,2008,G,Usain BOLT,JAM,19.30
2000,Pole Vault,W,Beijing,2008,G,Yelena ISINBAEVA,RUS,5.05
2001,1500M,M,Beijing,2008,S,Nicholas WILLIS,NZL,3:34.16
2002,1500M,M,Beijing,2008,B,Medhi BAALA,FRA,3:34.21
2003,4X400M Relay,M,Beijing,2008,S,,BAH,2:58.03
2004,5000M,M,Beijing,2008,S,Eliud Kipchoge ROTICH,KEN,13:02.80
2005,5000M,M,Beijing,2008,G,Kenenisa BEKELE,ETH,12:57.82
2006,200M,M,Beijing,2008,S,Shawn CRAWFORD,USA,19.96
2007,Heptathlon,W,Beijing,2008,S,Hyleas FOUNTAIN,USA,6619.0
2008,4X400M Relay,M,Beijing,2008,G,,USA,2:55.39
2009,Shot Put,W,Beijing,2008,G,Valerie ADAMS,NZL,20.56
2010,Discus Throw,W,Beijing,2008,B,Olena ANTONOVA,UKR,62.59
2011,400M Hurdles,M,Beijing,2008,G,Angelo TAYLOR,USA,47.25
2012,100M,M,Beijing,2008,B,Walter DIX,USA,9.91
2013,100M,M,Beijing,2008,S,Richard THOMPSON,TTO,9.89
2014,100M,M,Beijing,2008,G,Usain BOLT,JAM,9.69
2015,110M Hurdles,M,Beijing,2008,S,David PAYNE,USA,13.17
2016,400M,M,Beijing,2008,B,David NEVILLE,USA,44.8
2017,110M Hurdles,M,Beijing,2008,G,Dayron ROBLES,CUB,12.93
2018,Marathon,W,Beijing,2008,B,Chunxiu ZHOU,CHN,2h27:07
2019,Marathon,W,Beijing,2008,S,Catherine NDEREBA,KEN,2h27:06
2020,Marathon,W,Beijing,2008,G,Constantina TOMESCU,ROU,2h26:44
2021,4X100M Relay,M,Beijing,2008,S,,TTO,38.06
2022,4X100M Relay,M,Beijing,2008,B,,JPN,38.15
2023,3000M Steeplechase,M,Beijing,2008,S,Mahiedine MEKHISSI-BENABBAD,FRA,8:10.49
2024,3000M Steeplechase,M,Beijing,2008,G,Brimin Kiprop KIPRUTO,KEN,8:10.34
2025,Discus Throw,W,Beijing,2008,G,Stephanie BROWN TRAFTON,USA,64.74
2026,400M,M,Beijing,2008,S,Jeremy WARINER,USA,44.74
2027,Javelin Throw,W,Beijing,2008,G,Barbora SPOTAKOVA,CZE,71.42
2028,Javelin Throw,W,Beijing,2008,B,Christina OBERGFOLL,GER,66.13
2029,Hammer Throw,W,Beijing,2008,G,Yipsi MORENO,CUB,75.2
2030,Hammer Throw,W,Beijing,2008,S,Wenxiu ZHANG,CHN,74.32
2031,Hammer Throw,W,Beijing,2008,B,Manuela MONTEBRUN,FRA,72.54
2032,High Jump,W,Beijing,2008,S,Blanka VLASIC,CRO,2.05
2033,High Jump,W,Beijing,2008,G,Tia HELLEBAUT,BEL,2.05
2034,400M Hurdles,M,Beijing,2008,S,Kerron CLEMENT,USA,47.98
2035,400M Hurdles,M,Beijing,2008,B,Bershawn JACKSON,USA,48.06
2036,20Km Race Walk,M,Beijing,2008,B,Jared TALLENT,AUS,1h19:42
2037,20Km Race Walk,M,Beijing,2008,S,Jefferson PEREZ,ECU,1h19:15
2038,20Km Race Walk,M,Beijing,2008,G,Valeriy BORCHIN,RUS,1h19:01
2039,110M Hurdles,M,Beijing,2008,B,David OLIVER,USA,13.18
2040,10000M,M,Beijing,2008,B,Micah KOGO,KEN,27:04.11
2041,400M,M,Beijing,2008,G,Lashawn MERRITT,USA,43.75
2042,3000M Steeplechase,M,Beijing,2008,B,Richard Kipkemboi MATEELONG,KEN,8:11.01
2043,10000M,W,Beijing,2008,S,Elvan ABEYLEGESSE,TUR,29:56.34
2044,High Jump,M,Beijing,2008,G,Andrey SILNOV,RUS,2.36
2045,Marathon,M,Beijing,2008,S,Jaouad GHARIB,MAR,2h07:16
2046,Marathon,M,Beijing,2008,B,Tsegay KEBEDE,ETH,2h10:00
2047,Javelin Throw,M,Beijing,2008,G,Andreas THORKILDSEN,NOR,90.57
2048,800M,M,Beijing,2008,B,Alfred Kirwa YEGO,KEN,1:44.82
2049,800M,M,Beijing,2008,S,Ismail Ahmed ISMAIL,SUD,1:44.70
2050,800M,M,Beijing,2008,G,Wilfred BUNGEI,KEN,1:44.65
2051,Pole Vault,M,Beijing,2008,G,Steve HOOKER,AUS,5.96
2052,1500M,W,Beijing,2008,G,Nancy Jebet LAGAT,KEN,4:00.23
2053,Pole Vault,M,Beijing,2008,S,Evgeniy LUKYANENKO,RUS,5.85
2054,Shot Put,M,Beijing,2008,S,Christian CANTWELL,USA,21.09
2055,4X400M Relay,W,Beijing,2008,G,,USA,3:18.54
2056,200M,W,Beijing,2008,B,Kerron STEWART,JAM,22.00
2057,Hammer Throw,M,Beijing,2008,G,Primoz KOZMUS,SLO,82.02
2058,Shot Put,M,Beijing,2008,B,Dylan ARMSTRONG,CAN,21.04
2059,High Jump,M,Beijing,2008,B,Yaroslav RYBAKOV,RUS,2.34
2060,Hammer Throw,M,Beijing,2008,S,Vadim DEVYATOVSKIY,BLR,81.61
2061,Shot Put,M,Beijing,2008,G,Tomasz MAJEWSKI,POL,21.51
2062,100M,W,Beijing,2008,S,Kerron STEWART,JAM,10.98
2063,1500M,W,Beijing,2008,S,Iryna LISHCHYNSKA,UKR,4:01.63
2064,Javelin Throw,M,Beijing,2008,S,Ainars KOVALS,LAT,86.64
2065,Discus Throw,M,Beijing,2008,G,Gerd KANTER,EST,68.82
2066,200M,W,Beijing,2008,S,Allyson FELIX,USA,21.93
2067,200M,W,Beijing,2008,G,Veronica CAMPBELL-BROWN,JAM,21.74
2068,Long Jump,M,Beijing,2008,S,Godfrey Khotso MOKOENA,RSA,8.24
2069,Long Jump,M,Beijing,2008,B,Ibrahim CAMEJO,CUB,8.2
2070,Discus Throw,M,Beijing,2008,S,Piotr MALACHOWSKI,POL,67.82
2071,Discus Throw,M,Beijing,2008,B,Virgilijus ALEKNA,LTU,67.79
2072,High Jump,M,Beijing,2008,S,Germaine MASON,GBR,2.34
2073,4X100M Relay,W,Beijing,2008,B,,BRA,43.14
2074,Decathlon,M,Beijing,2008,S,Andrei KRAUCHANKA,BLR,8551.0
2075,4X100M Relay,W,Beijing,2008,S,,NGR,43.04
2076,4X100M Relay,W,Beijing,2008,G,,BEL,42.54
2077,Decathlon,M,Beijing,2008,G,Bryan CLAY,USA,8791.0
2078,Marathon,M,Beijing,2008,G,Samuel Kamau WANJIRU,KEN,2h06:32
2079,1500M,W,Beijing,2008,B,Nataliya TOBIAS,UKR,4:01.78
2080,Javelin Throw,M,Beijing,2008,B,Tero PITKAMAKI,FIN,86.16
2081,Decathlon,M,Beijing,2008,B,Leonel SUAREZ,CUB,8527.0
2082,100M,W,Beijing,2008,S,Sherone SIMPSON,JAM,10.98
2083,4X400M Relay,W,Beijing,2008,B,,JAM,3:20.40
2084,100M,W,Beijing,2008,G,Shelly-Ann FRASER-PRYCE,JAM,10.78
2085,5000M,W,Beijing,2008,S,Elvan ABEYLEGESSE,TUR,15:42.74
2086,400M,W,Beijing,2008,G,Christine OHURUOGU,GBR,49.62
2087,3000M Steeplechase,W,Beijing,2008,G,Gulnara SAMITOVA,RUS,8:58.81
2088,5000M,W,Beijing,2008,B,Meseret DEFAR,ETH,15:44.12
2089,10000M,W,Beijing,2008,G,Tirunesh DIBABA,ETH,29:54.66
2090,3000M Steeplechase,W,Beijing,2008,S,Eunice JEPKORIR,KEN,9:07.41
2091,100M Hurdles,W,Beijing,2008,B,Priscilla LOPES-SCHLIEP,CAN,12.64
2092,50Km Race Walk,M,Beijing,2008,B,Denis NIZHEGORODOV,RUS,3h40:14
2093,100M Hurdles,W,Beijing,2008,S,Sally PEARSON,AUS,12.64
2094,800M,W,Beijing,2008,G,Pamela JELIMO,KEN,1:54.87
2095,400M Hurdles,W,Beijing,2008,G,Melaine WALKER,JAM,52.64
2096,400M Hurdles,W,Beijing,2008,S,Sheena TOSTA,USA,53.7
2097,400M Hurdles,W,Beijing,2008,B,Natasha DANVERS,GBR,53.84
2098,800M,W,Beijing,2008,S,Janeth Jepkosgei BUSIENEI,KEN,1:56.07
2099,800M,W,Beijing,2008,B,Hasna BENHASSI,MAR,1:56.73
2100,10000M,W,Beijing,2008,B,Shalane FLANAGAN,USA,30:22.22
2101,100M Hurdles,W,Beijing,2008,G,Dawn HARPER,USA,12.54
2102,Triple Jump,M,Beijing,2008,B,Leevan SANDS,BAH,17.59
2103,5000M,W,Beijing,2008,G,Tirunesh DIBABA,ETH,15:41.40
2104,Long Jump,M,Beijing,2008,G,Irving SALADINO,PAN,8.34
2105,20Km Race Walk,W,Beijing,2008,B,Elisa RIGAUDO,ITA,1h27:12
2106,Triple Jump,M,Beijing,2008,G,Nelson EVORA,POR,17.67
2107,20Km Race Walk,W,Beijing,2008,S,Kjersti PLAETZER,NOR,1h27:07
2108,Triple Jump,M,Beijing,2008,S,Phillips IDOWU,GBR,17.62
2109,20Km Race Walk,W,Beijing,2008,G,Olga KANISKINA,RUS,1h26:31
2110,400M,W,Beijing,2008,S,Shericka WILLIAMS,JAM,49.69
2111,50Km Race Walk,M,Beijing,2008,S,Jared TALLENT,AUS,3h39:27
2112,400M,W,Beijing,2008,B,Sanya RICHARDS-ROSS,USA,49.93
2113,Hammer Throw,M,Beijing,2008,B,Ivan TSIKHAN,BLR,81.51
2114,50Km Race Walk,M,Beijing,2008,G,Alex SCHWAZER,ITA,3h37:09
2115,High Jump,M,London,2012,S,Erik KYNARD,USA,2.33
2116,1500M,M,London,2012,S,Leonel MANZANO,USA,3:34.79
2117,High Jump,M,London,2012,G,Ivan UKHOV,RUS,2.38
2118,3000M Steeplechase,W,London,2012,S,Sofia ASSEFA,ETH,9:09.84
2119,3000M Steeplechase,W,London,2012,G,Habiba GHRIBI,TUN,9:08.37
2120,High Jump,M,London,2012,B,Derek DROUIN,CAN,2.29
2121,1500M,M,London,2012,B,Abdalaati IGUIDER,MAR,3:35.13
2122,3000M Steeplechase,W,London,2012,B,Milcah Chemos CHEYWA,KEN,9:09.88
2123,High Jump,M,London,2012,B,Robert GRABARZ,GBR,2.29
2124,20Km Race Walk,M,London,2012,B,Zhen WANG,CHN,1:19:25
2125,200M,M,London,2012,G,Usain BOLT,JAM,19.32
2126,20Km Race Walk,W,London,2012,G,Elena LASHMANOVA,RUS,1:25:02
2127,20Km Race Walk,W,London,2012,B,Shenjie QIEYANG,CHN,1:25:16
2128,200M,W,London,2012,B,Carmelita JETER,USA,22.14
2129,200M,W,London,2012,S,Shelly-Ann FRASER-PRYCE,JAM,22.09
2130,200M,W,London,2012,G,Allyson FELIX,USA,21.88
2131,Javelin Throw,M,London,2012,B,Antti RUUSKANEN,FIN,84.12
2132,High Jump,M,London,2012,B,Mutaz Essa BARSHIM,QAT,2.29
2133,5000M,M,London,2012,G,Mohamed FARAH,GBR,13:41.66
2134,Javelin Throw,W,London,2012,S,Christina OBERGFOLL,GER,65.16
2135,Javelin Throw,W,London,2012,G,Barbora SPOTAKOVA,CZE,69.55
2136,200M,M,London,2012,S,Yohan BLAKE,JAM,19.44
2137,200M,M,London,2012,B,Warren WEIR,JAM,19.84
2138,20Km Race Walk,M,London,2012,S,Erick BARRONDO,GUA,1:18:57
2139,Javelin Throw,W,London,2012,B,Linda STAHL,GER,64.91
2140,Javelin Throw,M,London,2012,G,Keshorn WALCOTT,TTO,84.58
2141,5000M,M,London,2012,S,Dejen GEBREMESKEL,ETH,13:41.98
2142,Long Jump,M,London,2012,G,Greg RUTHERFORD,GBR,8.31
2143,Shot Put,M,London,2012,B,Reese HOFFA,USA,21.23
2144,100M,M,London,2012,B,Justin GATLIN,USA,9.79
2145,100M,M,London,2012,S,Yohan BLAKE,JAM,9.75
2146,100M,M,London,2012,G,Usain BOLT,JAM,9.63
2147,100M Hurdles,W,London,2012,B,Kellie WELLS,USA,12.48
2148,100M Hurdles,W,London,2012,S,Dawn HARPER,USA,12.37
2149,100M Hurdles,W,London,2012,G,Sally PEARSON,AUS,12.35
2150,Shot Put,W,London,2012,G,Valerie ADAMS,NZL,20.7
2151,Shot Put,W,London,2012,B,Lijiao GONG,CHN,20.22
2152,Triple Jump,M,London,2012,G,Christian TAYLOR,USA,17.81
2153,Triple Jump,M,London,2012,S,Will CLAYE,USA,17.62
2154,Triple Jump,M,London,2012,B,Fabrizio DONATO,ITA,17.48
2155,10000M,M,London,2012,B,Tariku BEKELE,ETH,27:31.43
2156,10000M,M,London,2012,S,Galen RUPP,USA,27:30.90
2157,10000M,M,London,2012,G,Mohamed FARAH,GBR,27:30.42
2158,10000M,W,London,2012,B,Vivian Jepkemoi CHERUIYOT,KEN,30:30.44
2159,10000M,W,London,2012,S,Sally Jepkosgei KIPYEGO,KEN,30:26.37
2160,10000M,W,London,2012,G,Tirunesh DIBABA,ETH,30:20.75
2161,Triple Jump,W,London,2012,G,Olga RYPAKOVA,KAZ,14.98
2162,Triple Jump,W,London,2012,S,Caterine IBARGUEN,COL,14.8
2163,Triple Jump,W,London,2012,B,Olga SALADUKHA,UKR,14.79
2164,Shot Put,M,London,2012,S,David STORL,GER,21.86
2165,Shot Put,M,London,2012,G,Tomasz MAJEWSKI,POL,21.89
2166,Pole Vault,W,London,2012,B,Yelena ISINBAEVA,RUS,4.7
2167,Pole Vault,W,London,2012,S,Yarisley SILVA,CUB,4.75
2168,Long Jump,M,London,2012,S,Mitchell WATT,AUS,8.16
2169,Long Jump,M,London,2012,B,Will CLAYE,USA,8.12
2170,Long Jump,W,London,2012,G,Brittney REESE,USA,7.12
2171,Long Jump,W,London,2012,S,Elena SOKOLOVA,RUS,7.07
2172,Long Jump,W,London,2012,B,Janay DELOACH,USA,6.89
2173,1500M,W,London,2012,B,Maryam Yusuf JAMAL,BRN,4:10.74
2174,1500M,W,London,2012,S,Gamze BULUT,TUR,4:10.40
2175,110M Hurdles,M,London,2012,B,Hansle PARCHMENT,JAM,13.12
2176,110M Hurdles,M,London,2012,S,Jason RICHARDSON,USA,13.04
2177,Marathon,M,London,2012,G,Stephen KIPROTICH,UGA,2:08:01
2178,1500M,M,London,2012,G,Taoufik MAKHLOUFI,ALG,3:34.08
2179,Marathon,M,London,2012,S,Abel KIRUI,KEN,2:08:27
2180,Marathon,W,London,2012,G,Tiki GELANA,ETH,2:23:07
2181,Marathon,W,London,2012,S,Priscah JEPTOO,KEN,2:23:12
2182,Marathon,W,London,2012,B,Tatyana PETROVA ARKHIPOVA,RUS,2:23:29
2183,100M,W,London,2012,B,Veronica CAMPBELL-BROWN,JAM,10.81
2184,100M,W,London,2012,S,Carmelita JETER,USA,10.78
2185,100M,W,London,2012,G,Shelly-Ann FRASER-PRYCE,JAM,10.75
2186,Pole Vault,M,London,2012,G,Renaud LAVILLENIE,FRA,5.97
2187,Pole Vault,M,London,2012,S,Bjorn OTTO,GER,5.91
2188,Pole Vault,M,London,2012,B,Raphael HOLZDEPPE,GER,5.91
2189,Pole Vault,W,London,2012,G,Jennifer SUHR,USA,4.75
2190,Marathon,M,London,2012,B,Wilson Kipsang KIPROTICH,KEN,2:09:37
2191,110M Hurdles,M,London,2012,G,Aries MERRITT,USA,12.92
2192,20Km Race Walk,M,London,2012,G,Ding CHEN,CHN,1:18:46
2193,800M,M,London,2012,G,David Lekuta RUDISHA,KEN,1:40.91
2194,5000M,W,London,2012,G,Meseret DEFAR,ETH,15:04.25
2195,4X400M Relay,M,London,2012,B,,TTO,2:59.40
2196,4X400M Relay,W,London,2012,G,,USA,3:16.87
2197,4X400M Relay,M,London,2012,G,,BAH,2:56.72
2198,4X100M Relay,W,London,2012,S,,JAM,41.41
2199,400M,W,London,2012,G,Sanya RICHARDS-ROSS,USA,49.55
2200,400M,W,London,2012,S,Christine OHURUOGU,GBR,49.7
2201,400M,W,London,2012,B,DeeDee TROTTER,USA,49.72
2202,400M Hurdles,M,London,2012,G,Felix SANCHEZ,DOM,47.63
2203,Discus Throw,M,London,2012,B,Gerd KANTER,EST,68.03
2204,Heptathlon,W,London,2012,B,Tatyana CHERNOVA,RUS,6628.0
2205,Heptathlon,W,London,2012,S,Lilli SCHWARZKOPF,GER,6649.0
2206,Heptathlon,W,London,2012,G,Jessica ENNIS HILL,GBR,6955.0
2207,400M Hurdles,M,London,2012,S,Michael TINSLEY,USA,47.91
2208,5000M,W,London,2012,S,Vivian Jepkemoi CHERUIYOT,KEN,15:04.73
2209,400M Hurdles,M,London,2012,B,Javier CULSON,PUR,48.1
2210,50Km Race Walk,M,London,2012,B,Robert HEFFERNAN,IRL,3:37:54
2211,Discus Throw,M,London,2012,S,Ehsan HADADI,IRI,68.18
2212,Discus Throw,M,London,2012,G,Robert HARTING,GER,68.27
2213,4X100M Relay,M,London,2012,G,,JAM,36.84
2214,Decathlon,M,London,2012,G,Ashton EATON,USA,8869.0
2215,Decathlon,M,London,2012,S,Trey HARDEE,USA,8671.0
2216,4X100M Relay,M,London,2012,S,,TTO,38.12
2217,4X100M Relay,M,London,2012,B,,FRA,38.16
2218,50Km Race Walk,M,London,2012,S,Tianfeng SI,CHN,3:37:16
2219,Decathlon,M,London,2012,B,Leonel SUAREZ,CUB,8523.0
2220,50Km Race Walk,M,London,2012,G,Jared TALLENT,AUS,3:36:53
2221,Hammer Throw,W,London,2012,S,Anita WLODARCZYK,POL,77.6
2222,4X400M Relay,W,London,2012,B,,UKR,3:23.57
2223,4X400M Relay,W,London,2012,S,,JAM,3:20.95
2224,4X100M Relay,W,London,2012,G,,USA,40.82
2225,5000M,W,London,2012,B,Tirunesh DIBABA,ETH,15:05.15
2226,4X400M Relay,M,London,2012,S,,USA,2:57.05
2227,High Jump,W,London,2012,B,Svetlana SHKOLINA,RUS,2.03
2228,4X100M Relay,W,London,2012,B,,UKR,42.04
2229,400M Hurdles,W,London,2012,B,Zuzana HEJNOVA,CZE,53.38
2230,400M Hurdles,W,London,2012,S,Lashinda DEMUS,USA,52.77
2231,3000M Steeplechase,M,London,2012,B,Abel Kiprop MUTAI,KEN,8:19.73
2232,3000M Steeplechase,M,London,2012,S,Mahiedine MEKHISSI-BENABBAD,FRA,8:19.08
2233,400M,M,London,2012,G,Kirani JAMES,GRN,43.94
2234,400M,M,London,2012,S,Luguelin SANTOS,DOM,44.46
2235,800M,W,London,2012,S,Caster SEMENYA,RSA,1:57.23
2236,400M,M,London,2012,B,Lalonde GORDON,TTO,44.52
2237,Discus Throw,W,London,2012,S,Yanfeng LI,CHN,67.22
2238,Discus Throw,W,London,2012,B,Yarelys BARRIOS,CUB,66.38
2239,3000M Steeplechase,M,London,2012,G,Ezekiel KEMBOI,KEN,8:18.56
2240,400M Hurdles,W,London,2012,G,Natalya ANTYUKH,RUS,52.7
2241,5000M,M,London,2012,B,Thomas Pkemei LONGOSIWA,KEN,13:42.36
2242,High Jump,W,London,2012,G,Anna CHICHEROVA,RUS,2.05
2243,High Jump,W,London,2012,S,Brigetta BARRETT,USA,2.03
2244,800M,M,London,2012,S,Nijel AMOS,BOT,1:41.73
2245,800M,W,London,2012,B,Ekaterina POISTOGOVA,RUS,1:57.53
2246,800M,W,London,2012,G,Mariya SAVINOVA,RUS,1:56.19
2247,Hammer Throw,W,London,2012,B,Betty HEIDLER,GER,77.13
2248,800M,M,London,2012,B,Timothy KITUM,KEN,1:42.53
2249,Hammer Throw,M,London,2012,G,Krisztian PARS,HUN,80.59
2250,Hammer Throw,M,London,2012,S,Primoz KOZMUS,SLO,79.36
2251,Discus Throw,W,London,2012,G,Sandra PERKOVIC,CRO,69.11
2252,Hammer Throw,M,London,2012,B,Koji MUROFUSHI,JPN,78.71
2253,Pole Vault,M,Rio,2016,B,Sam KENDRICKS,USA,5.85
2254,Shot Put,W,Rio,2016,S,Valerie ADAMS,NZL,20.42
2255,Shot Put,W,Rio,2016,G,Michelle CARTER,USA,20.63
2256,Pole Vault,W,Rio,2016,S,Sandi MORRIS,USA,4.85
2257,Pole Vault,W,Rio,2016,G,Ekaterini STEFANIDI,GRE,4.85
2258,4X100M Relay,M,Rio,2016,S,,JPN,37.6
2259,Shot Put,M,Rio,2016,B,Tomas WALSH,NZL,21.36
2260,4X400M Relay,W,Rio,2016,G,,USA,
2261,800M,M,Rio,2016,G,David Lekuta RUDISHA,KEN,1:42.15
2262,Pole Vault,W,Rio,2016,B,Eliza MCCARTNEY,NZL,4.8
2263,4X100M Relay,M,Rio,2016,B,,CAN,37.64
2264,Shot Put,M,Rio,2016,G,Ryan CROUSER,USA,22.52
2265,4X400M Relay,W,Rio,2016,B,,GBR,
2266,110M Hurdles,M,Rio,2016,G,Omar MCLEOD,JAM,13.05
2267,Shot Put,M,Rio,2016,S,Joe KOVACS,USA,21.78
2268,4X400M Relay,W,Rio,2016,S,,JAM,
2269,4X100M Relay,M,Rio,2016,G,,JAM,37.27
2270,High Jump,M,Rio,2016,S,Mutaz Essa BARSHIM,QAT,2.36
2271,4X400M Relay,M,Rio,2016,G,,USA,
2272,800M,W,Rio,2016,S,Francine NIYONSABA,BDI,1:56.49
2273,800M,W,Rio,2016,B,Margaret Nyairera WAMBUI,KEN,1:56.89
2274,100M Hurdles,W,Rio,2016,B,Kristi CASTLIN,USA,12.61
2275,100M Hurdles,W,Rio,2016,S,Nia ALI,USA,12.59
2276,100M Hurdles,W,Rio,2016,G,Brianna ROLLINS,USA,12.48
2277,10000M,M,Rio,2016,B,Tamirat TOLA,ETH,27:06.26
2278,10000M,M,Rio,2016,S,Paul Kipngetich TANUI,KEN,27:05.64
2279,Triple Jump,W,Rio,2016,G,Caterine IBARGUEN,COL,15.17
2280,Triple Jump,W,Rio,2016,S,Yulimar ROJAS,VEN,14.98
2281,Triple Jump,W,Rio,2016,B,Olga RYPAKOVA,KAZ,14.74
2282,10000M,W,Rio,2016,G,Almaz AYANA,ETH,29:17.45
2283,5000M,M,Rio,2016,G,Mohamed FARAH,GBR,13:03.30
2284,5000M,M,Rio,2016,S,Paul Kipkemoi CHELIMO,USA,13:03.90
2285,5000M,M,Rio,2016,B,Hagos GEBRHIWET,ETH,13:04.35
2286,10000M,W,Rio,2016,S,Vivian Jepkemoi CHERUIYOT,KEN,29:32.53
2287,10000M,W,Rio,2016,B,Tirunesh DIBABA,ETH,29:42.56
2288,10000M,M,Rio,2016,G,Mohamed FARAH,USA,25:05.17
2289,800M,W,Rio,2016,G,Caster SEMENYA,RSA,1:55.28
2290,Shot Put,W,Rio,2016,B,Anita MARTON,HUN,19.87
2291,5000M,W,Rio,2016,B,Almaz AYANA,ETH,14:33.59
2292,5000M,W,Rio,2016,G,Vivian Jepkemoi CHERUIYOT,KEN,14:26.17
2293,100M,W,Rio,2016,B,Shelly-Ann FRASER-PRYCE,JAM,10.86
2294,4X400M Relay,M,Rio,2016,S,,JAM,
2295,50Km Race Walk,M,Rio,2016,B,Hirooki ARAI,JPN,3:41:24
2296,50Km Race Walk,M,Rio,2016,S,Jared TALLENT,AUS,3:41:16
2297,100M,W,Rio,2016,S,Tori BOWIE,USA,10.83
2298,100M,W,Rio,2016,G,Elaine THOMPSON,JAM,10.71
2299,Triple Jump,M,Rio,2016,G,Christian TAYLOR,USA,17.86
2300,Triple Jump,M,Rio,2016,S,Will CLAYE,USA,17.76
2301,Triple Jump,M,Rio,2016,B,Bin DONG,CHN,17.58
2302,50Km Race Walk,M,Rio,2016,G,Matej TOTH,SVK,3:40:58
2303,800M,M,Rio,2016,S,Taoufik MAKHLOUFI,ALG,1:42.61
2304,100M,M,Rio,2016,S,Justin GATLIN,USA,9.89
2305,100M,M,Rio,2016,G,Usain BOLT,JAM,9.81
2306,Discus Throw,W,Rio,2016,B,Denia CABALLERO,CUB,65.34
2307,Discus Throw,W,Rio,2016,S,Melina ROBERT-MICHON,FRA,66.73
2308,Discus Throw,W,Rio,2016,G,Sandra PERKOVIC,CRO,69.21
2309,4X400M Relay,M,Rio,2016,B,,BAH,
2310,5000M,W,Rio,2016,S,Hellen Onsando OBIRI,KEN,14:29.77
2311,100M,M,Rio,2016,B,Andre DE GRASSE,CAN,9.91
2312,Decathlon,M,Rio,2016,B,Damian WARNER,CAN,8666.0
2313,110M Hurdles,M,Rio,2016,S,Orlando ORTEGA,ESP,13.17
2314,20Km Race Walk,M,Rio,2016,B,Dane BIRD-SMITH,AUS,1:19:37
2315,20Km Race Walk,M,Rio,2016,S,Zelin CAI,CHN,1:19:26
2316,20Km Race Walk,M,Rio,2016,G,Zhen WANG,CHN,1:19:14
